image,score
im34-RET079OS.jpg,0.70489501953125
im26-RET046OS.jpg,0.6497864008543965
im01-RET029OD.jpg,0.5769467528470299
im18-RET255OD.jpg,0.7086801426872771
im37-RET112OD.jpg,0.9036007785467128
im39-RET122OD.jpg,0.796598592992282
im22-RET013OD.jpg,0.16015625
im12-RET137OD.jpg,0.5968360873991698
im23-RET015OD.jpg,0.5349718037202256
im35-RET102OD.jpg,0.3907962016070124
im28-RET053OS.jpg,0.7607945459136436
im29-RET055OS.jpg,0.6623285876495764
im07-RET128OD.jpg,0.642117202268431
im20-RET266OS.jpg,0.8932977865955732
im05-RET039OD.jpg,0.6022879740131347
im03-RET033OD.jpg,0.539456
im13-RET139OS.jpg,0.7709109503981298
im17-RET229OD.jpg,0.7104018077819363
im33-RET072OD.jpg,0.092032
im24-RET020OS.jpg,0.22695590884172606
im25-RET045OS.jpg,0.7525020089122654
im10-RET133OS.jpg,0.659008
im11-RET135OS.jpg,0.5084807256235828
im06-RET126OS.jpg,0.4561829430652361
im40-RET264OD.jpg,0.7652001977261493
im08-RET130OD.jpg,0.3835026161895968
im30-RET065OD.jpg,0.6630763416477702
im02-RET031OS.jpg,0.7136593341260404
im32-RET069OD.jpg,0.8492063492063492
im04-RET037OD.jpg,0.11002585463947141
im36-RET104OS.jpg,0.710909631391201
im21-RET010OS.jpg,0.5156131638750947
im31-RET066OD.jpg,0.5759272786299814
im19-RET260OS.jpg,0.6254362470578687
im09-RET131OD.jpg,0.5909090909090909
im27-RET051OD.jpg,0.11954631379962193
im14-RET140OS.jpg,0.727603305785124
im15-RET142OS.jpg,0.6036528911707769
im38-RET113OD.jpg,0.8241781661249934
im16-RET228OD.jpg,0.8498309053069719
